209	243
103	506
386	198
197	300
181	287
416	440
244	237
368	178
363	555
56	325
59	317
89	533
363	526
70	502
155	582
417	426
99	540
146	259
98	569
145	226
178	296
75	305
104	575
122	228
184	250
107	246
109	554
95	241
355	529
121	242
50	335
64	522
373	182
184	307
386	191
86	574
371	189
44	509
405	428
243	305
72	540
299	518
128	237
119	215
424	443
266	279
47	346
94	552
61	330
308	536
308	536
37	531
222	322
115	219
59	497
108	266
232	281
70	502
362	194
353	521
178	236
233	271
408	431
365	165
350	200
332	513
369	191
412	435
40	326
75	305
94	552
178	236
183	300
232	293
59	526
138	587
107	599
145	226
63	520
126	600
37	531
105	517
51	497
91	235
239	283
359	186
88	238
79	531
94	539
263	270
85	517
69	538
107	562
41	522
52	504
209	243
226	290
356	185
72	572
50	545
62	339
347	188
70	502
190	260
71	508
337	524
105	557
403	421
53	325
109	551
80	329
359	186
120	205
107	246
195	290
168	283
221	279
52	504
100	254
98	253
79	338
105	517
132	536
403	445
244	237
366	535
119	574
69	538
132	546
6	485
426	433
58	332
363	526
368	190
433	433
126	569
40	326
89	533
350	200
316	528
218	219
388	184
61	337
104	575
116	216
232	281
243	305
181	287
92	239
418	444
433	433
340	553
226	290
245	287
239	283
119	574
239	283
109	554
238	310
355	202
392	421
63	520
370	185
52	555
405	428
371	189
352	559
352	559
105	552
417	426
241	299
155	582
346	180
208	244
122	242
357	185
232	293
222	322
78	536
59	348
404	428
85	205
104	227
237	291
411	446
128	547
113	553
352	559
229	280
56	333
231	294
50	509
344	564
126	600
316	528
184	250
369	191
70	502
229	280
263	270
179	231
422	440
104	233
122	242
102	611
201	268
337	524
188	283
126	600
107	246
107	581
47	501
343	535
53	531
178	274
347	188
421	441
115	219
232	281
80	544
60	499
105	517
353	521
368	190
426	433
372	187
332	513
371	189
93	258
404	438
50	545
227	288
67	484
50	335
122	242
105	557
200	267
234	314
245	291
115	567
133	246
113	553
92	239
222	322
125	225
81	327
190	260
89	533
106	581
95	241
88	238
355	198
238	246
206	283
326	524
365	196
409	431
403	436
50	523
110	243
406	450
93	258
264	282
121	242
400	447
333	551
316	528
94	539
124	565
73	530
110	215
324	540
402	421
109	220
100	254
264	282
217	239
106	205
50	549
350	200
197	300
311	524
317	510
185	267
107	599
346	567
195	290
244	279
417	437
266	279
128	237
42	335
128	547
75	509
417	426
218	219
341	571
346	494
132	536
417	437
371	189
98	576
59	526
422	446
109	220
413	446
59	348
115	228
95	241
115	228
114	260
357	197
50	335
56	325
344	564
355	195
352	559
183	300
85	609
343	197
60	499
95	280
399	439
178	236
238	310
213	245
311	524
418	444
103	522
311	527
102	611
329	528
181	249
372	187
426	433
386	198
106	557
122	228
93	258
343	197
105	517
399	439
91	258
363	202
422	446
85	517
205	236
431	439
221	275
155	582
179	231
65	334
215	239
355	529
110	573
209	243
115	219
238	246
132	536
80	544
423	436
119	574
80	536
119	231
209	243
110	588
120	205
88	238
363	555
82	574
56	325
234	314
328	174
208	244
40	326
366	202
107	555
176	233
224	264
424	443
129	551
260	281
220	290
190	260
91	258
317	510
68	341
75	352
111	525
366	202
110	596
163	274
361	173
115	544
79	338
181	287
108	266
85	205
311	524
416	440
372	187
391	435
124	565
404	438
86	574
61	337
104	233
238	310
114	260
337	533
359	186
335	533
347	523
200	267
379	554
194	254
56	333
59	317
363	204
356	183
128	547
74	335
355	203
317	510
231	294
416	437
404	438
208	244
373	182
250	276
50	509
62	319
138	587
316	528
340	553
86	512
98	253
91	257
402	421
358	175
181	249
55	330
50	523
56	325
131	262
404	438
340	553
107	246
56	535
141	542
126	219
343	535
99	540
136	235
78	536
212	247
67	341
59	526
221	275
369	191
346	567
206	283
78	220
415	434
202	304
413	446
358	545
99	558
59	497
